"Species_and_traits","Unstable","Stable","Destabilised","Stabilised"
"1",2,7378418,2379696,120761,121125
"2",3,8784791,945168,108479,161562
"3",4,9497213,315491,64624,122672
"4",5,9817903,86999,28674,66424
"5",6,9941805,20347,9930,27918
"6",7,9983677,3963,2752,9608
"7",8,9996005,637,602,2756
"8",9,9999138,95,120,647
"9",10,9999834,8,15,143
"10",11,9999980,1,1,18
"11",12,9999994,0,1,5
"12",13,9999998,0,0,2
"13",14,1e+07,0,0,0
"14",15,1e+07,0,0,0
"15",16,1e+07,0,0,0
"16",17,1e+07,0,0,0
"17",18,1e+07,0,0,0
"18",19,1e+07,0,0,0
"19",20,1e+07,0,0,0
