S,exp_A,exp_M,beta_A,beta_M,gamma_A,gamma_M
2,99965,99965,99974,99974,99977,99977
3,99636,99635,99650,99648,99628,99628
4,98576,98564,98482,98470,98508,98492
5,96053,95971,96156,96096,96068,96004
6,92036,91867,92104,91927,92233,92029
7,86667,86333,86456,86070,86604,86161
8,79670,79153,79392,78822,79393,78771
9,71389,70911,70998,70529,71070,70548
10,61674,61609,61794,61586,61265,61093
11,51150,51935,51352,51924,51313,51951
12,41209,42925,40954,42670,40708,42183
13,30827,33462,30969,33770,31046,33522
14,22203,25767,22208,25629,22342,25435
15,15003,18877,15206,18913,15025,18464
16,9613,13372,9504,13357,9418,12737
17,5579,8967,5570,8976,5719,8487
18,3104,5833,3048,5853,3060,5447
19,1516,3578,1553,3633,1600,3185
20,717,2067,799,2179,769,1862
21,312,1196,310,1200,331,1039
22,129,643,128,654,135,510
23,48,321,48,359,57,242
24,11,161,19,159,20,120
25,1,59,5,81,7,45
26,0,30,0,48,0,22
27,0,10,0,16,0,6
28,1,3,2,2,0,3
29,0,2,0,0,0,0
30,0,0,0,1,0,0
31,0,0,0,1,0,0
32,0,0,0,0,0,0
…,…,…,…,…,…,…
50,0,0,0,0,0,0
