"Header", "Description", "Header_cont.", "Description_cont."
"S", "The system size", "A_rho", "Corr. between elements A[ij] and A[ji]"
"A_unstable", "No. of A that were unstable", "M_rho", "Corr. between elements M[ij] and M[ji]"
"A_stable", "No. of A that were stable", "rho_diff", "Diff. between A and M rho values"
"M_unstable", "No. of M that were unstable", "rho_abs", "Diff. between A and M rho magnitudes"
"M_stable", "No. of M that were stable", "complex_A", "Complexity of A"
"A_stabilised", "No. of A stabilised by gamma", "complex_M", "Complexity of M"
"A_destabilised", "No. of A destabilised by gamma", "A_eig", "Expected real part of leading A eigenvalue"
"A_infeasible", "No. of A that were infeasible", "M_eig", "Expected real part of leading M eigenvalue"
"A_feasible", "No. of A that were feasible", "LR_A", "Lowest obs. real part of leading A eigenvalue"
"M_infeasible", "No. of M that were infeasible", "UR_A", "Highest obs. real part of leading A eigenvalue"
"M_feasible", "No. of M that were feasible", "LR_M", "Lowest obs. real part of leading M eigenvalue"
"A_made_feasible", "No. of A made feasible by gamma", "UR_M", "Highest obs. real part of leading M eigenvalue"
"A_made_infeasible", "No. of A made infeasible by gamma",,
