"","sigma","sigma^2","b","vargam","A0_var","A1_var","hackradii"
"keepit",0.03125,0.0009765625,0.1,0.1,0.000977196470003049,9.08735599991044e-05,0.298011201362826
"keepit",0.03125,0.0009765625,1.1,1.1,0.000974867115578173,0.00107316521806645,1.06187454546976
"keepit",0.03125,0.0009765625,2.1,2.1,0.000974804827679542,0.00203506925781096,1.42933011400706
"keepit",0.03125,0.0009765625,3.1,3.1,0.000977694806837225,0.00309247759566128,1.69747169885805
"keepit",0.03125,0.0009765625,4.1,4.1,0.000976787950658442,0.00407443414940207,2.09985500621568
"keepit",0.03125,0.0009765625,5.1,5.1,0.000975835786802001,0.00459059972708711,2.13055730885571
"keepit",0.03125,0.0009765625,6.1,6.1,0.000974123829328459,0.00578794429039534,2.34804762318882
"keepit",0.03125,0.0009765625,7.1,7.1,0.000977011688138851,0.00683585971790479,2.61917544580849
"keepit",0.03125,0.0009765625,8.1,8.1,0.000977408411186172,0.00744035858938788,2.6416601551536
"keepit",0.03125,0.0009765625,9.1,9.1,0.000977561284274042,0.00890412356443507,3.05952162873287
"keepit",0.03125,0.0009765625,10.1,10.1,0.000977132860760693,0.00977935482813334,3.20085936666541
"keepit",0.03125,0.0009765625,11.1,11.1,0.000976673831758497,0.0100358721402992,3.04160694140366
"keepit",0.03125,0.0009765625,12.1,12.1,0.000977426308620306,0.0119556447045286,3.70684376552853
"keepit",0.03125,0.0009765625,13.1,13.1,0.000975895818280284,0.0131696809034929,3.55282738486687
"keepit",0.03125,0.0009765625,14.1,14.1,0.000974918474113833,0.0139507149353597,3.81502641510963
"keepit",0.03125,0.0009765625,15.1,15.1,0.000976586089707512,0.0150569948745996,3.91061633538294
"keepit",0.03125,0.0009765625,16.1,16.1,0.000976349311134486,0.0160606650475823,4.04590649377696
"keepit",0.03125,0.0009765625,17.1,17.1,0.000974183743628467,0.0161464074004824,3.99372055724638
"keepit",0.03125,0.0009765625,18.1,18.1,0.000978365891718494,0.0164884766959042,3.99611848571033
"keepit",0.03125,0.0009765625,19.1,19.1,0.000976849679963471,0.0184397003196447,4.2302312050191
"keepit",0.03125,0.0009765625,20.1,20.1,0.000975405942024498,0.0192181029829674,4.22740728182262
"keepit",0.03125,0.0009765625,21.1,21.1,0.000975327488917044,0.0203642638423854,4.3621207194558
"keepit",0.03125,0.0009765625,22.1,22.1,0.000978877588501877,0.0213612573104293,4.60164195016224
"keepit",0.03125,0.0009765625,23.1,23.1,0.000976641905369881,0.0232519224760624,4.95436908318631
"keepit",0.03125,0.0009765625,24.1,24.1,0.000977957557792017,0.0247040616922868,5.1542555731503
"keepit",0.03125,0.0009765625,25.1,25.1,0.00097691344728787,0.0239371904120457,4.80089856577535
"keepit",0.03125,0.0009765625,26.1,26.1,0.000978795055850507,0.0241089277492116,4.98835804889915
"keepit",0.03125,0.0009765625,27.1,27.1,0.000974654194095058,0.0261860741173875,4.98929436075846
"keepit",0.03125,0.0009765625,28.1,28.1,0.000977278491487307,0.0262112990499239,5.12650842936904
"keepit",0.03125,0.0009765625,29.1,29.1,0.000976884767669227,0.0299793842427157,5.68873328358488
"keepit",0.03125,0.0009765625,30.1,30.1,0.000977327130283697,0.0301309796128529,5.66159351591239
"keepit",0.03125,0.0009765625,31.1,31.1,0.000976761490534673,0.0321292003419032,5.56108387275548
"keepit",0.03125,0.0009765625,32.1,32.1,0.000973567619174149,0.0323920586106271,5.64628391564583
"keepit",0.03125,0.0009765625,33.1,33.1,0.000977524378988549,0.0339509147799398,5.6937043691906
"keepit",0.03125,0.0009765625,34.1,34.1,0.000975215605048228,0.0323227901705231,5.70278421703
"keepit",0.03125,0.0009765625,35.1,35.1,0.000976642842445975,0.032216854340383,5.53912097167998
"keepit",0.03125,0.0009765625,36.1,36.1,0.000975610027482046,0.0359528476550298,5.96281273136806
"keepit",0.03125,0.0009765625,37.1,37.1,0.000977064653994876,0.0347625629550126,5.88187290251284
"keepit",0.03125,0.0009765625,38.1,38.1,0.000975569486000332,0.0359357631699313,6.29403651506321
"keepit",0.03125,0.0009765625,39.1,39.1,0.00097580205039132,0.0392433475300565,6.45345497559981
"keepit",0.03125,0.0009765625,40.1,40.1,0.000978455821085382,0.0388993429511605,6.41088730060122
"keepit",0.03125,0.0009765625,41.1,41.1,0.000976211949802803,0.0419190238458995,6.47147048129313
"keepit",0.03125,0.0009765625,42.1,42.1,0.000976932881660103,0.0437253443673155,6.54397544706759
"keepit",0.03125,0.0009765625,43.1,43.1,0.000975742583453602,0.0417348799324529,6.33147690369548
"keepit",0.03125,0.0009765625,44.1,44.1,0.000975597478046732,0.0388442730953404,6.05059636965781
"keepit",0.03125,0.0009765625,45.1,45.1,0.00097565866459302,0.045518140013918,6.6131834540745
"keepit",0.03125,0.0009765625,46.1,46.1,0.000977558163992634,0.0443278417827216,6.74372485609685
"keepit",0.03125,0.0009765625,47.1,47.1,0.000978489400741188,0.0458249805935816,6.83393605188022
