"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1","C"
"1",2,303963,696037,310053,689947,6223,12313,1e+06,0,1e+06,0,0,0,2.57097621108817e-06,4.45005388689292e-05,4.19295626578414e-05,-0.000747461215989672,0.794687541121656,0.913251941959292,0.0828900709219858
"2",3,577855,422145,579996,420004,26423,28564,1e+06,0,1e+06,0,0,0,-4.68679074974738e-05,-6.89310536228794e-05,-2.20631461254049e-05,-0.000591236421968332,0.968549365470935,1.11414452505182,0.122783687943262
"3",4,810001,189999,799132,200868,39600,28731,1e+06,0,1e+06,0,0,0,-0.000110998525111168,-8.28458803074025e-05,2.81526448037652e-05,-0.000532868222901765,1.1122992259418,1.27993354587456,0.161790780141844
"4",5,938004,61996,924613,75387,29449,16058,1e+06,0,1e+06,0,0,0,3.32115700211374e-05,-2.60172649373512e-06,-3.58132965148729e-05,-0.000410357110890512,1.23699599206496,1.42368170713363,0.19991134751773
"5",6,984975,15025,976433,23567,14058,5516,1e+06,0,1e+06,0,0,0,3.06250169541058e-05,-3.20633028645963e-05,-6.26883198187021e-05,-0.000367918394007205,1.34782909556559,1.55144195172282,0.237145390070922
"6",7,997160,2840,994005,5995,4521,1366,1e+06,0,1e+06,0,0,0,-0.000108601167436137,-3.88399159838831e-05,6.9761251452254e-05,-0.000315457215966477,1.44737918904659,1.66637634216297,0.273492907801418
"7",8,999584,416,998590,1410,1225,231,1e+06,0,1e+06,0,0,0,7.51250485687291e-05,5.58213204272818e-05,-1.93037281414475e-05,-0.000337900839313932,1.5385445115183,1.77163587362842,0.30895390070922
"8",9,999955,45,999707,293,277,29,1e+06,0,1e+06,0,0,0,8.30938313046913e-05,2.16266253226463e-05,-6.14672059820452e-05,-0.000287109624750635,1.62277415633437,1.86870742757812,0.343528368794326
"9",10,999992,8,999939,61,60,7,1e+06,0,1e+06,0,0,0,-1.5698219552202e-05,-2.59642346319284e-05,-1.02660150797263e-05,-0.000269798814882482,1.7006157409723,1.95838786332189,0.377216312056738
"10",11,999999,1,999990,10,10,1,1e+06,0,1e+06,0,0,0,-6.48035718115693e-05,-5.0064230888532e-05,1.47393409230369e-05,-0.000228899821776449,1.77317591749683,2.0420989524593,0.410017730496454
"11",12,1e+06,0,999999,1,1,0,1e+06,0,1e+06,0,0,0,4.38062101892928e-05,1.93406555126808e-05,-2.4465554676612e-05,-0.000228395418022815,1.84104018942681,2.12031115238426,0.441932624113475
