S,M,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,C
24,2,152791,847209,156034,843966,1628,4871,1000000,0,1000000,0,0,0,7.50511626911296E-05,8.43973818214873E-06,-6.66114245089813E-05,-0.002077676,0.789125679,0.9034663322,0.1648550725
24,3,320481,679519,326351,673649,10986,16856,1000000,0,1000000,0,0,0,8.53871676374341E-05,4.566137411532E-05,-3.97257935221154E-05,-0.0016082252,0.9566486633,1.0967499362,0.240942029
24,4,504433,495567,504826,495174,28777,29170,1000000,0,1000000,0,0,0,-3.16986299876337E-05,-4.14106618048291E-05,-0.000009712,-0.0013888962,1.0922869593,1.2532760733,0.3134057971
24,5,670676,329324,660426,339574,44808,34558,1000000,0,1000000,0,0,0,-7.02513566310791E-05,-0.0001322093,-6.19579476283951E-05,-0.0012290254,1.2073054376,1.3857168579,0.3822463768
24,6,798637,201363,779345,220655,51067,31775,1000000,0,1000000,0,0,0,0.0001100712,4.78278535313896E-05,-6.2243379140623E-05,-0.0010328995,1.3067094874,1.5004508059,0.4474637681
24,7,884082,115918,862215,137785,47215,25348,1000000,0,1000000,0,0,0,0.00007227,5.93085458541297E-05,-1.29614106113581E-05,-0.0009530366,1.394257706,1.6013367975,0.509057971
24,8,936190,63810,915630,84370,38238,17678,1000000,0,1000000,0,0,0,0.0001126648,0.0001381614,2.5496629805816E-05,-0.0008567497,1.4722315319,1.6908562662,0.5670289855
24,9,964868,35132,948297,51703,28373,11802,1000000,0,999999,1,1,0,2.89905599078744E-05,-1.50390981407397E-05,-4.40296580486145E-05,-0.0008512061,1.5414454781,1.7707291617,0.6213768116
24,10,981460,18540,967911,32089,20682,7133,1000000,0,1000000,0,0,0,-0.00003935,-2.7617537411096E-05,1.17324925481072E-05,-0.0007889357,1.6030043909,1.8417459315,0.6721014493
24,11,989838,10162,980232,19768,14057,4451,1000000,0,1000000,0,0,0,6.02423408723942E-05,8.419955850973E-05,2.39572176373359E-05,-0.0006709121,1.6586511197,1.9059313428,0.7192028986
24,12,994393,5607,987436,12564,9738,2781,1000000,0,1000000,0,0,0,1.63525331700995E-05,-3.58804888835723E-05,-0.000052233,-0.0007640115,1.7081503055,1.9628897863,0.7626811594
48,2,303963,696037,310053,689947,6223,12313,1000000,0,1000000,0,0,0,0.000002571,4.45005388689292E-05,4.19295626578414E-05,-0.0007474612,0.7946875411,0.913251942,0.0828900709
48,3,577855,422145,579996,420004,26423,28564,1000000,0,1000000,0,0,0,-4.68679074974738E-05,-6.89310536228794E-05,-2.20631461254049E-05,-0.0005912364,0.9685493655,1.1141445251,0.1227836879
48,4,810001,189999,799132,200868,39600,28731,1000000,0,1000000,0,0,0,-0.0001109985,-8.28458803074025E-05,2.81526448037652E-05,-0.0005328682,1.1122992259,1.2799335459,0.1617907801
48,5,938004,61996,924613,75387,29449,16058,1000000,0,1000000,0,0,0,3.32115700211374E-05,-2.60172649373512E-06,-3.58132965148729E-05,-0.0004103571,1.2369959921,1.4236817071,0.1999113475
48,6,984975,15025,976433,23567,14058,5516,1000000,0,1000000,0,0,0,0.000030625,-3.20633028645963E-05,-6.26883198187021E-05,-0.0003679184,1.3478290956,1.5514419517,0.2371453901
48,7,997160,2840,994005,5995,4521,1366,1000000,0,1000000,0,0,0,-0.0001086012,-3.88399159838831E-05,6.9761251452254E-05,-0.0003154572,1.447379189,1.6663763422,0.2734929078
48,8,999584,416,998590,1410,1225,231,1000000,0,1000000,0,0,0,0.000075125,5.58213204272818E-05,-1.93037281414475E-05,-0.0003379008,1.5385445115,1.7716358736,0.3089539007
48,9,999955,45,999707,293,277,29,1000000,0,1000000,0,0,0,8.30938313046913E-05,2.16266253226463E-05,-6.14672059820452E-05,-0.0002871096,1.6227741563,1.8687074276,0.3435283688
48,10,999992,8,999939,61,60,7,1000000,0,1000000,0,0,0,-1.5698219552202E-05,-2.59642346319284E-05,-0.000010266,-0.0002697988,1.700615741,1.9583878633,0.3772163121
48,11,999999,1,999990,10,10,1,1000000,0,1000000,0,0,0,-6.48035718115693E-05,-5.0064230888532E-05,1.47393409230369E-05,-0.0002288998,1.7731759175,2.0420989525,0.4100177305
48,12,1000000,0,999999,1,1,0,1000000,0,1000000,0,0,0,4.38062101892928E-05,1.93406555126808E-05,-2.4465554676612E-05,-0.0002283954,1.8410401894,2.1203111524,0.4419326241
72,2,427243,572757,434600,565400,10539,17896,1000000,0,1000000,0,0,0,-8.33375038493651E-05,-0.0001169627,-3.36251951118625E-05,-0.0003812889,0.796422627,0.9166566482,0.0553599374
72,3,741345,258655,739020,260980,30813,28488,1000000,0,1000000,0,0,0,2.70490812255846E-05,-6.68178227055456E-05,-9.38669039311304E-05,-0.000298984,0.9723446126,1.1195788334,0.0823552426
72,4,931043,68957,921145,78855,26098,16200,1000000,0,1000000,0,0,0,-6.18202669483485E-05,-4.29236633210984E-05,1.88966036272508E-05,-0.0002950523,1.1188219691,1.2888100233,0.1089593114
72,5,989644,10356,984372,15628,9277,4005,1000000,0,1000000,0,0,0,-4.53139095801424E-05,-1.82258633982041E-05,0.000027088,-0.0002341554,1.2466268107,1.4361875402,0.135172144
72,6,999131,869,997914,2086,1669,452,1000000,0,1000000,0,0,0,6.17010972350158E-05,1.94143292409056E-05,-4.22867679941112E-05,-0.000209468,1.3604665567,1.5674966287,0.1609937402
72,7,999946,54,999804,196,180,38,1000000,0,1000000,0,0,0,-1.70839215739559E-05,-2.03136264339206E-05,-3.22970485996476E-06,-0.0001786129,1.4642496383,1.687250106,0.1864241002
72,8,999999,1,999988,12,12,1,1000000,0,1000000,0,0,0,3.87652540116447E-05,-1.92297142342619E-05,-0.000057995,-0.0001757258,1.5596339715,1.7974043538,0.2114632238
72,9,1000000,0,999999,1,1,0,1000000,0,1000000,0,0,0,-4.10415275010229E-05,-3.29422107459901E-05,8.09931675503256E-06,-0.000176251,1.6482180872,1.899444065,0.2361111111
72,10,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,-4.10032527945945E-05,-5.97317422064619E-05,-1.87284894118673E-05,-0.0001616144,1.7307859123,1.9947149782,0.2603677621
72,11,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,-1.48170896676563E-05,2.97868759375485E-05,0.000044604,-0.0001235585,1.8086766201,2.0847262199,0.2842331768
72,12,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,2.9360777517316E-05,2.91805689812599E-06,-2.64427206191898E-05,-0.0001458383,1.881753348,2.1689763771,0.3077073552
96,2,527633,472367,535188,464812,13576,21131,1000000,0,1000000,0,0,0,5.30126501255647E-05,2.73109206326474E-05,-2.57017294929175E-05,-0.000312893,0.7974024003,0.9183556745,0.0415570175
96,3,842274,157726,837756,162244,28134,23616,1000000,0,1000000,0,0,0,2.8680146606452E-05,7.95331574350734E-06,-2.07268308629447E-05,-0.0001830468,0.9741293005,1.1224709467,0.0619517544
96,4,975834,24166,969478,30522,13669,7313,1000000,0,1000000,0,0,0,-8.19650886356529E-06,-0.000063851,-5.56544996688198E-05,-0.0002150458,1.1220114785,1.2931371126,0.082127193
96,5,998391,1609,996991,3009,2156,756,1000000,0,1000000,0,0,0,-6.89472886405121E-05,-6.62701396292379E-05,2.67714901127472E-06,-0.0001423245,1.2511287305,1.442233143,0.1020833333
96,6,999955,45,999838,162,149,32,1000000,0,1000000,0,0,0,-2.2336630437824E-05,4.52938408033689E-07,2.27895688458576E-05,-0.0001392102,1.3669902852,1.5757698789,0.1218201754
96,7,999999,1,999996,4,4,1,1000000,0,1000000,0,0,0,-4.97168029693564E-06,-3.87102678117893E-05,-3.37385875148534E-05,-0.0001367637,1.472586248,1.6977056566,0.1413377193
96,8,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,2.32191419974411E-05,-1.75237030663329E-06,-2.49715123040741E-05,-0.0001350525,1.5699144947,1.8099762306,0.1606359649
96,9,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,-0.000025294,-5.01308390093895E-05,-2.48368818230013E-05,-0.000092906,1.6606161874,1.9146803908,0.1797149123
96,10,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,-3.81443021749933E-05,-2.57467558231357E-05,1.23975463518577E-05,-0.0001013403,1.7457971204,2.0129343613,0.1985745614
96,11,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,0.000047165,4.600877393891E-05,-1.15617737995029E-06,-9.82343780805241E-05,1.8260367965,2.1055558874,0.2172149123
96,12,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,-3.55634653892091E-05,-4.44989076653418E-05,-8.93544227613283E-06,-7.28915032218848E-05,1.9018607666,2.1929362113,0.2356359649
120,2,609563,390437,616036,383964,15810,22283,1000000,0,1000000,0,0,0,5.5710324956248E-05,8.31524071761177E-05,2.74420822198698E-05,-0.0002250058,0.7979355172,0.9194404098,0.0332633053
120,3,904064,95936,899040,100960,22842,17818,1000000,0,1000000,0,0,0,2.89481302638279E-05,-9.91926143098319E-06,-3.88673916948112E-05,-0.0002112135,0.9753815027,1.1243250845,0.0496498599
120,4,991710,8290,988410,11590,6336,3036,1000000,0,1000000,0,0,0,-9.16713206965072E-05,-9.80548418752147E-05,-6.38352117870755E-06,-8.1227211309193E-05,1.1239921612,1.2957519587,0.0658963585
120,5,999781,219,999477,523,424,120,1000000,0,1000000,0,0,0,-0.000009274,-1.37111249812611E-05,-4.4371089149096E-06,-0.000080946,1.2539361624,1.4458517926,0.0820028011
120,6,999999,1,999981,19,18,0,1000000,0,1000000,0,0,0,-4.47788800739765E-05,-4.50530042917054E-06,4.02735796448057E-05,-0.0001116055,1.3707936665,1.580698699,0.0979691877
120,7,1000000,0,999999,1,1,0,1000000,0,1000000,0,0,0,-2.8500551030355E-05,-1.44693096438268E-06,2.70536200659725E-05,-0.000085457,1.477536628,1.7038860041,0.1137955182
120,8,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,4.84175790000461E-05,4.28485360435693E-05,-0.000005569,-7.69469152235307E-05,1.5762635705,1.8177236463,0.1294817927
120,9,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,-0.000056536,-4.19248169633813E-06,5.23435380157166E-05,-5.92171844476454E-05,1.668064704,1.9238256972,0.1450280112
120,10,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,4.5249651477491E-05,0.000039613,-5.63667341426893E-06,-5.8971568712844E-05,1.7545110246,2.0233837657,0.1604341737
120,11,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,2.76127733457187E-06,1.67360506739141E-05,1.39747733393422E-05,-6.04839459186168E-05,1.8363882122,2.1178384566,0.1757002801
120,12,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,3.06831900502431E-05,5.95742965165043E-05,2.88911064662613E-05,-4.87233392820546E-05,1.9135798422,2.2069806079,0.1908263305
