beta,N,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,C,complex_A0_fixed,complex_A1_fixed,Check_C
0,24,17442,982558,17489,982511,1,48,1000000,0,1000000,0,0,0,3.23024602027301E-05,-1.42713142644044E-05,-4.65737744671331E-05,-0.0034270101,0.1695020728,0.1941222848,0.1304347826,0.578426918932005,0.662304756020085,0.130434782608696
0,48,257013,742987,259517,740483,630,3134,1000000,0,1000000,0,0,0,-1.67737520971141E-05,-5.645048338178E-05,-3.96767312846665E-05,-0.0009205141,0.2355489185,0.27113805,0.1063829787,0.803704091681004,0.924771804762324,0.106382978723404
0,72,715587,284413,723082,276918,6650,14145,1000000,0,1000000,0,0,0,2.81238139501572E-05,1.00017842362553E-05,-1.8122E-05,-0.0003644264,0.2866561195,0.3304008872,0.0985915493,0.987517479150124,1.13901437542193,0.098591549295775
0,96,961817,38183,963276,36724,6464,7923,1000000,0,1000000,0,0,0,1.62278291156616E-05,-3.48646827621042E-05,-5.10925118777661E-05,-0.0001844078,0.3299114828,0.3804889304,0.0947368421,1.13364029273033,1.31001178700694,0.094736842105263
0,120,998976,1024,998812,1188,632,468,1000000,0,1000000,0,0,0,8.33882547654759E-06,-1.04352039909913E-05,-1.8774E-05,-9.81969367621955E-05,0.3681517785,0.4246688104,0.0924369748,1.27259113756933,1.46834621998226,0.092436974789916
0,144,999998,2,999991,9,8,1,1000000,0,1000000,0,0,0,2.1674818761586E-05,7.21905455336402E-06,-1.44557642082217E-05,-8.81434787750075E-05,0.4027470802,0.4646753677,0.0909090909,1.39200106122655,1.60533008678484,0.090909090909091
0,168,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,1.7598E-05,5.61556433182652E-06,-1.1982480581118E-05,-5.78136288075414E-05,0.4345714334,0.5014673775,0.0898203593,1.50232164595943,1.73150857682659,0.089820359281437
0.01,24,17386,982614,17433,982567,1,48,1000000,0,1000000,0,0,0,0.0001216088,8.43816657003752E-05,-3.72271419006432E-05,-0.0036789421,0.1695342962,0.1941451519,0.1304320833,0.571660414100678,0.656232448418117,0.130434782608696
0.01,48,255369,744631,257956,742044,631,3218,1000000,0,1000000,0,0,0,8.22695158400784E-05,5.725E-05,-2.50195205225282E-05,-0.0007514266,0.2355569048,0.2711249902,0.1063798191,0.8070557017573,0.929294188433909,0.106377659574468
0.01,72,708407,291593,716019,283981,6917,14529,1000000,0,1000000,0,0,0,-0.0001148924,-2.09486211633931E-05,9.39437722072737E-05,-0.0003601475,0.2866423226,0.3303843382,0.0985884131,0.985778777191638,1.13514281689141,0.098589593114241
0.01,96,960591,39409,961685,38315,6948,8042,1000000,0,1000000,0,0,0,5.68909130982312E-05,4.47976430392278E-05,-1.20932700590031E-05,-0.0002358271,0.3299322438,0.3804641415,0.0947337239,1.14127676798435,1.31713548895369,0.094734429824561
0.01,120,998991,1009,998813,1187,659,481,1000000,0,1000000,0,0,0,-2.39984747737148E-05,-9.32560878611135E-06,1.46728659876034E-05,-0.0001179172,0.3681427685,0.4246683255,0.0924338711,1.27047394834527,1.46611826267766,0.092433193277311
0.01,144,999997,3,999993,7,5,1,1000000,0,1000000,0,0,0,-1.97442454264165E-05,2.40113116006775E-06,2.21453765864841E-05,-4.32352450786488E-05,0.4027696325,0.4646907097,0.0909059864,1.38797417118804,1.60164454081919,0.090906274281274
0.01,168,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,4.23578369395754E-06,-1.58444129676026E-05,-2.008019666156E-05,-7.25723767789949E-05,0.4345881134,0.5014852446,0.0898172444,1.50215070240575,1.73237184291252,0.089816723695466
0.1,24,20408,979592,20478,979522,6,76,999999,1,1000000,0,0,1,-9.0234914541099E-05,-0.0001175575,-2.73226171578945E-05,-0.0035782736,0.1692657618,0.1937917233,0.1302962428,0.576694844709784,0.65730559278218,0.130300724637681
0.1,48,238101,761899,240787,759213,1109,3795,1000000,0,1000000,0,0,0,0.0002455185,0.0001738649,-7.1653638991998E-05,-0.0007779129,0.2351004514,0.2705891846,0.1062307199,0.810011490691443,0.932684206149097,0.106234929078014
0.1,72,680138,319862,685524,314476,11605,16991,1000000,0,1000000,0,0,0,6.88627048348364E-05,-6.68686230343186E-07,-6.95313910651791E-05,-0.0003403468,0.2861156317,0.3297663038,0.0984349984,0.989934990371103,1.13964439848321,0.098438184663537
0.1,96,961691,38309,959740,40260,9707,7756,1000000,0,1000000,0,0,0,1.36907056731859E-05,1.70477092045337E-06,-1.1985934752733E-05,-0.0002638346,0.3293217846,0.3797665856,0.0945785651,1.13791968383107,1.31189599335275,0.094571710526316
0.1,120,999544,456,999282,718,468,206,1000000,0,1000000,0,0,0,6.01755348754809E-05,5.99776930842728E-05,-1.97841791207978E-07,-0.0001239265,0.3674528668,0.4238479464,0.0922777374,1.26675296245879,1.46146610793881,0.092284033613445
0.1,144,999999,1,999999,1,1,1,1000000,0,1000000,0,0,0,-4.43346391764639E-05,-2.79919155767524E-05,1.63427235997114E-05,-6.173E-05,0.4019505162,0.4637655228,0.0907491904,1.3851084308376,1.59922416249863,0.090752525252525
0.1,168,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,6.48572012178823E-06,1.22553139971239E-05,5.76959387533592E-06,-5.87906478958725E-05,0.4337703954,0.5005276397,0.0896598447,1.50172774924305,1.73119627450232,0.089656757912746
0.25,24,23923,976077,24031,975969,13,121,1000000,0,1000000,0,0,0,-0.000363738,-0.0003215774,4.21605844070249E-05,-0.0032451586,0.1680052237,0.192242003,0.1296696268,0.571995559279776,0.653827121364135,0.129721014492754
0.25,48,228389,771611,231312,768688,1838,4761,1000000,0,1000000,0,0,0,-4.6621938087024E-05,-7.33978536739895E-05,-2.67759155869664E-05,-0.0007143797,0.2331849673,0.2683720671,0.1055242083,0.805354064317326,0.927381446905529,0.105549645390071
0.25,72,666374,333626,668472,331528,18216,20314,1000000,0,1000000,0,0,0,7.6858E-05,2.4219E-05,-5.2639E-05,-0.0002089014,0.2836431366,0.3268806505,0.0977061968,0.979564913695535,1.12975355802554,0.097703442879499
0.25,96,966462,33538,961616,38384,12301,7455,1000000,0,1000000,0,0,0,1.70837318014482E-05,-2.9387E-05,-4.64707019762991E-05,-0.0001769431,0.3263952068,0.376378251,0.0938385807,1.12800850338926,1.30214773655414,0.093849342105263
0.25,120,999759,241,999510,490,360,111,1000000,0,1000000,0,0,0,-9.86988044495399E-05,-5.65325194588564E-05,4.21662849906835E-05,-0.0001159889,0.3642255478,0.4201168088,0.0915314612,1.26336218997408,1.45812863677614,0.091537535014006
0.25,144,1000000,0,999999,1,1,0,1000000,0,1000000,0,0,0,9.18135076515894E-05,8.50164933045943E-05,-6.797E-06,-8.14756789388936E-05,0.3983171097,0.4595508752,0.0899988943,1.38217507498841,1.59444325839739,0.089994366744367
0.25,168,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,-1.45918378711428E-05,8.33445899973494E-06,2.29262968708778E-05,-5.86603848514342E-05,0.4298719804,0.4960197981,0.0889059698,1.49421705067021,1.72386418265115,0.088905189620759
1,24,26159,973841,26309,973691,16,166,1000000,0,1000000,0,0,0,0.0001630204,6.10575807407877E-05,-0.0001019628,-0.0030627714,0.1588024467,0.1815080728,0.1249673406,0.555218407532221,0.632484643480806,0.125094202898551
1,48,211700,788300,214607,785393,2003,4910,1000000,0,1000000,0,0,0,-8.48594892877397E-05,-0.0001552253,-7.03658598387495E-05,-0.0006954383,0.2154544097,0.2478696318,0.099136922,0.768432533899475,0.884444385491982,0.099119680851064
1,72,613966,386034,615862,384138,19385,21281,1000000,0,1000000,0,0,0,-3.19888604117092E-05,-4.81344458111739E-05,-1.61455853994649E-05,-0.0002677952,0.2602684628,0.299880225,0.0908174284,0.942824869860531,1.08540890002152,0.090821205007825
1,96,943949,56051,936840,63160,18062,10953,1000000,0,1000000,0,0,0,1.42014837872673E-05,-2.47233982120666E-05,-3.89248819993339E-05,-0.0001620596,0.2984621601,0.3441158745,0.0867075118,1.08230532937168,1.24726140938387,0.086670394736842
1,120,999134,866,998351,1649,1136,353,1000000,0,1000000,0,0,0,2.3127798906701E-05,3.73849621217334E-06,-1.93893026945276E-05,-0.0001504559,0.3323169297,0.3833061461,0.0842580394,1.20423537777774,1.39005524298023,0.084296918767507
1,144,1000000,0,999997,3,3,0,1000000,0,1000000,0,0,0,-5.71567169379173E-06,-5.40143873452338E-05,-4.82987156514421E-05,-1.68604496710008E-05,0.3630114017,0.4187916521,0.082631829,1.32259777919748,1.5269490952629,0.082636752136752
1,168,1000000,0,1000000,0,0,0,1000000,0,1000000,0,0,0,-1.1575E-05,-3.67557982543993E-06,7.89937654964725E-06,-2.83512800059592E-05,0.3913277086,0.4515182759,0.0814744944,1.42126376487087,1.642329350947,0.081494796122042
