S,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_destabilised,A1_stabilised
2,5,9995,5,9995,0,0
3,28,9972,28,9972,0,0
4,143,9856,143,9857,0,1
5,367,9632,367,9633,0,1
6,796,9196,796,9204,0,8
7,1325,8624,1325,8675,0,51
8,1859,7992,1861,8139,1,148
9,2552,7075,2552,7448,0,373
10,3173,6084,3175,6825,1,742
11,3572,5215,3572,6428,0,1213
12,4162,4056,4162,5838,0,1782
13,4402,3105,4402,5598,0,2493
14,4737,2233,4737,5263,0,3030
15,5026,1496,5026,4974,0,3478
16,5219,958,5219,4781,0,3823
17,5379,601,5379,4621,0,4020
18,5510,319,5510,4490,0,4171
19,5793,164,5793,4207,0,4043
20,5998,86,5998,4002,0,3916
21,6339,27,6339,3661,0,3634
22,6667,11,6667,3333,0,3322
23,6895,2,6895,3105,0,3103
24,7327,0,7327,2673,0,2673
25,7678,3,7678,2322,0,2319
26,8148,0,8148,1852,0,1852
27,8568,0,8568,1432,0,1432
28,8927,0,8927,1073,0,1073
29,9243,0,9243,757,0,757
30,9512,0,9512,488,0,488
31,9632,0,9632,368,0,368
32,9779,0,9779,221,0,221
33,9872,0,9872,128,0,128
34,9928,0,9928,72,0,72
35,9956,0,9956,44,0,44
36,9981,0,9981,19,0,19
37,9991,0,9991,9,0,9
38,9995,0,9995,5,0,5
39,9998,0,9998,2,0,2
40,10000,0,10000,0,0,0
41,10000,0,10000,0,0,0
42,10000,0,10000,0,0,0
43,10000,0,10000,0,0,0
44,10000,0,10000,0,0,0
45,10000,0,10000,0,0,0
46,10000,0,10000,0,0,0
47,10000,0,10000,0,0,0
48,10000,0,10000,0,0,0
49,10000,0,10000,0,0,0
50,10000,0,10000,0,0,0
