Species_S,Unstable,Stable,De.stabilised,Stabilised,Infeasible,Feasible,Made_infeasible,Made_feasible
2,51,99949,0,0,51,99949,0,0
3,3422,96578,0,0,3422,96578,0,0
4,34345,65655,0,0,34345,65655,0,0
5,86728,13272,0,0,86728,13272,0,0
6,99678,322,0,0,99678,322,0,0
7,99997,3,0,0,99997,3,0,0
8,100000,0,0,0,100000,0,0,0
9,100000,0,0,0,100000,0,0,0
10,100000,0,0,0,100000,0,0,0
11,100000,0,0,0,100000,0,0,0
12,100000,0,0,0,100000,0,0,0
13,100000,0,0,0,100000,0,0,0
14,100000,0,0,0,100000,0,0,0
15,100000,0,0,0,100000,0,0,0
16,100000,0,0,0,100000,0,0,0
17,100000,0,0,0,100000,0,0,0
18,100000,0,0,0,100000,0,0,0
19,100000,0,0,0,100000,0,0,0
20,100000,0,0,0,100000,0,0,0
21,100000,0,0,0,100000,0,0,0
22,100000,0,0,0,100000,0,0,0
23,100000,0,0,0,100000,0,0,0
24,100000,0,0,0,100000,0,0,0
25,100000,0,0,0,100000,0,0,0
26,100000,0,0,0,100000,0,0,0
27,100000,0,0,0,100000,0,0,0
28,100000,0,0,0,100000,0,0,0
29,100000,0,0,0,100000,0,0,0
30,100000,0,0,0,100000,0,0,0
31,100000,0,0,0,100000,0,0,0
32,100000,0,0,0,100000,0,0,0
33,100000,0,0,0,100000,0,0,0
34,100000,0,0,0,100000,0,0,0
35,100000,0,0,0,100000,0,0,0
36,100000,0,0,0,100000,0,0,0
37,100000,0,0,0,100000,0,0,0
38,100000,0,0,0,100000,0,0,0
39,100000,0,0,0,100000,0,0,0
40,100000,0,0,0,100000,0,0,0
41,100000,0,0,0,100000,0,0,0
42,100000,0,0,0,100000,0,0,0
43,100000,0,0,0,100000,0,0,0
44,100000,0,0,0,100000,0,0,0
45,100000,0,0,0,100000,0,0,0
46,100000,0,0,0,100000,0,0,0
47,100000,0,0,0,100000,0,0,0
48,100000,0,0,0,100000,0,0,0
49,100000,0,0,0,100000,0,0,0
50,100000,0,0,0,100000,0,0,0
51,100000,0,0,0,100000,0,0,0
52,100000,0,0,0,100000,0,0,0
53,100000,0,0,0,100000,0,0,0
54,100000,0,0,0,100000,0,0,0
55,100000,0,0,0,100000,0,0,0
56,100000,0,0,0,100000,0,0,0
57,100000,0,0,0,100000,0,0,0
58,100000,0,0,0,100000,0,0,0
59,100000,0,0,0,100000,0,0,0
60,100000,0,0,0,100000,0,0,0
61,100000,0,0,0,100000,0,0,0
62,100000,0,0,0,100000,0,0,0
63,100000,0,0,0,100000,0,0,0
64,100000,0,0,0,100000,0,0,0
65,100000,0,0,0,100000,0,0,0
66,100000,0,0,0,100000,0,0,0
67,100000,0,0,0,100000,0,0,0
68,100000,0,0,0,100000,0,0,0
69,100000,0,0,0,100000,0,0,0
70,100000,0,0,0,100000,0,0,0
71,100000,0,0,0,100000,0,0,0
72,100000,0,0,0,100000,0,0,0
73,100000,0,0,0,100000,0,0,0
74,100000,0,0,0,100000,0,0,0
75,100000,0,0,0,100000,0,0,0
76,100000,0,0,0,100000,0,0,0
77,100000,0,0,0,100000,0,0,0
78,100000,0,0,0,100000,0,0,0
79,100000,0,0,0,100000,0,0,0
80,100000,0,0,0,100000,0,0,0
81,100000,0,0,0,100000,0,0,0
82,100000,0,0,0,100000,0,0,0
83,100000,0,0,0,100000,0,0,0
84,100000,0,0,0,100000,0,0,0
85,100000,0,0,0,100000,0,0,0
86,100000,0,0,0,100000,0,0,0
87,100000,0,0,0,100000,0,0,0
88,100000,0,0,0,100000,0,0,0
89,100000,0,0,0,100000,0,0,0
90,100000,0,0,0,100000,0,0,0
91,100000,0,0,0,100000,0,0,0
92,100000,0,0,0,100000,0,0,0
93,100000,0,0,0,100000,0,0,0
94,100000,0,0,0,100000,0,0,0
95,100000,0,0,0,100000,0,0,0
96,100000,0,0,0,100000,0,0,0
97,100000,0,0,0,100000,0,0,0
98,100000,0,0,0,100000,0,0,0
99,100000,0,0,0,100000,0,0,0
100,100000,0,0,0,100000,0,0,0
